city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Perpignan,42.6986,2.8956,France,FR,Occitanie,minor,120158,120158
Boulogne-Billancourt,48.8352,2.2409,France,FR,Île-de-France,minor,120071,120071
Besançon,47.2400,6.0200,France,FR,Bourgogne-Franche-Comté,minor,115934,115934
Belfort,47.6400,6.8500,France,FR,Bourgogne-Franche-Comté,minor,114445,114445
Saint-Denis,48.9356,2.3539,France,FR,Île-de-France,minor,111135,111135
Argenteuil,48.9500,2.2500,France,FR,Île-de-France,minor,110210,110210
Montreuil,48.8611,2.4436,France,FR,Île-de-France,,109897,109897
Caen,49.1800,-0.3700,France,FR,Normandie,minor,105354,105354
Roubaix,50.6901,3.1817,France,FR,Hauts-de-France,,100000,96990
Tourcoing,50.7239,3.1612,France,FR,Hauts-de-France,,97368,97368
Nanterre,48.8988,2.1969,France,FR,Île-de-France,minor,95105,95105
Avignon,43.9500,4.8075,France,FR,Provence-Alpes-Côte d’Azur,minor,93671,91921
Vitry-sur-Seine,48.7875,2.3928,France,FR,Île-de-France,,93557,93557
Épinal,48.1744,6.4512,France,FR,Grand Est,minor,93184,93184
Créteil,48.7911,2.4628,France,FR,Île-de-France,minor,90605,90605
Poitiers,46.5800,0.3400,France,FR,Nouvelle-Aquitaine,minor,88291,88291
Dunkerque,51.0383,2.3775,France,FR,Hauts-de-France,minor,87353,87353
Aubervilliers,48.9131,2.3831,France,FR,Île-de-France,,86375,86375
Versailles,48.8053,2.1350,France,FR,Île-de-France,minor,85862,85862
Aulnay-sous-Bois,48.9386,2.4906,France,FR,Île-de-France,,85740,85740
Carrières-sur-Seine,48.9108,2.2889,France,FR,Île-de-France,,85191,85191
Colombes,48.9236,2.2522,France,FR,Île-de-France,,85177,85177
Courbevoic,48.8978,2.2531,France,FR,Île-de-France,,81719,81719
Rueil-Malmaison,48.8760,2.1810,France,FR,Île-de-France,,78152,78152
Champigny-sur-Marne,48.8172,2.5156,France,FR,Île-de-France,,77630,77630
Béziers,43.3476,3.2190,France,FR,Occitanie,minor,77177,77177
Pau,43.3000,-0.3700,France,FR,Nouvelle-Aquitaine,minor,77130,77130
La Rochelle,46.1591,-1.1517,France,FR,Nouvelle-Aquitaine,minor,75735,75735
Saint-Maur-des-Fossés,48.7994,2.4997,France,FR,Île-de-France,,74859,74859
Calais,50.9481,1.8564,France,FR,Hauts-de-France,minor,73911,73911
Cannes,43.5513,7.0128,France,FR,Provence-Alpes-Côte d’Azur,,73868,73868
Antibes,43.5808,7.1239,France,FR,Provence-Alpes-Côte d’Azur,,72999,72999
Drancy,48.9300,2.4500,France,FR,Île-de-France,,71318,71318
Ajaccio,41.9267,8.7369,France,FR,Corsica,admin,70659,70659
Mérignac,44.8386,-0.6436,France,FR,Nouvelle-Aquitaine,,70105,70105
Saint-Nazaire,47.2806,-2.2086,France,FR,Pays de la Loire,minor,69993,69993
Colmar,48.0817,7.3556,France,FR,Grand Est,minor,69105,69105
Issy-les-Moulineaux,48.8239,2.2700,France,FR,Île-de-France,,68451,68451
Noisy-le-Grand,48.8478,2.5528,France,FR,Île-de-France,,68183,68183
Courcouronnes,48.6239,2.4294,France,FR,Île-de-France,,67967,67967
Vénissieux,45.6978,4.8867,France,FR,Auvergne-Rhône-Alpes,,65894,65894
Cergy,49.0361,2.0631,France,FR,Île-de-France,minor,65177,65177
Bourges,47.0844,2.3964,France,FR,Centre-Val de Loire,minor,64551,64551
Levallois-Perret,48.8950,2.2872,France,FR,Île-de-France,,64379,64379
La Seyne-sur-Mer,43.1000,5.8830,France,FR,Provence-Alpes-Côte d’Azur,,63936,63936
Pessac,44.8067,-0.6311,France,FR,Nouvelle-Aquitaine,,63808,63808
Valence,44.9333,4.8917,France,FR,Auvergne-Rhône-Alpes,minor,63714,63714
Quimper,47.9967,-4.0964,France,FR,Bretagne,minor,62985,62985
Antony,48.7539,2.2975,France,FR,Île-de-France,minor,62570,62570
Ivry-sur-Seine,48.8078,2.3747,France,FR,Île-de-France,,62052,62052
Montélimar,44.5581,4.7508,France,FR,Auvergne-Rhône-Alpes,,61861,61861
Troyes,48.2997,4.0792,France,FR,Grand Est,minor,61652,61652
Clichy,48.9044,2.3064,France,FR,Île-de-France,,61070,61070
Cherbourg,49.6504,-1.6500,France,FR,Normandie,minor,60991,60991
Montauban,44.0181,1.3558,France,FR,Occitanie,minor,60810,60810
Neuilly-sur-Seine,48.8881,2.2686,France,FR,Île-de-France,,60361,60361
Chambéry,45.5700,5.9118,France,FR,Auvergne-Rhône-Alpes,minor,58919,58919
Niort,46.3258,-0.4606,France,FR,Nouvelle-Aquitaine,minor,58707,58707
Sarcelles,48.9956,2.3808,France,FR,Île-de-France,minor,58587,58587
Pantin,48.8966,2.4017,France,FR,Île-de-France,,57482,57482
Lorient,47.7500,-3.3600,France,FR,Bretagne,minor,57149,57149
Le Blanc-Mesnil,48.9387,2.4614,France,FR,Île-de-France,,56783,56783
Beauvais,49.4303,2.0952,France,FR,Hauts-de-France,minor,56020,56020
Maisons-Alfort,48.8058,2.4378,France,FR,Île-de-France,,55655,55655
Hyères,43.1199,6.1316,France,FR,Provence-Alpes-Côte d’Azur,,55588,55588
Épinay-sur-Seine,48.9553,2.3092,France,FR,Île-de-France,,55084,55084
Meaux,48.9603,2.8883,France,FR,Île-de-France,minor,54991,54991
